date,season,week,eventName,sherdogIdA,sherdogIdB,ourIdA,ourIdB,nameA,nameB,winnerSherdogId,method,round
2024-10-01,2024,8,Dana White's Contender Series - Contender Series 2024: Week 8,Bartosz-Szewczyk-227573,Diyar-Nurgozhay-274275,,c3fd5865a09e741a,Bartosz Szewczyk,Diyar Nurgozhay,Diyar-Nurgozhay-274275,KO (Head Kick and Punches),2
2024-10-01,2024,8,Dana White's Contender Series - Contender Series 2024: Week 8,David-Martinez-221351,Xavier-Franklin-260583,f98cac378dcfb57b,,David Martinez,Xavier Franklin,David-Martinez-221351,Decision (Unanimous),3
2024-10-01,2024,8,Dana White's Contender Series - Contender Series 2024: Week 8,Christien-Savoie-186775,Jacobe-Smith-394506,,ef56a8f712d971ef,Christien Savoie,Jacobe Smith,Jacobe-Smith-394506,TKO (Elbows),2
2024-10-01,2024,8,Dana White's Contender Series - Contender Series 2024: Week 8,Abdelah-ErRamy-333741,Torrez-Finney-379262,,ac54fb7dcc875b59,Abdelah Er-Ramy,Torrez Finney,Torrez-Finney-379262,TKO (Punches),1
2024-10-01,2024,8,Dana White's Contender Series - Contender Series 2024: Week 8,Alberto-Montes-257203,Carlos-Calderon-247279,837d7b515e82e17f,,Alberto Montes,Carlos Calderon,Alberto-Montes-257203,Submission (Anaconda Choke),2
2024-10-08,2024,9,Dana White's Contender Series - Contender Series 2024: Week 9,Lucas-Triverio-Camacho-242865,Mario-Pinto-310173,,3f143ed5d6b45e39,Lucas Triverio Camacho,Mario Pinto,Mario-Pinto-310173,KO (Punches),1
2024-10-08,2024,9,Dana White's Contender Series - Contender Series 2024: Week 9,Islam-Dulatov-236167,Vanilton-Antunes-183297,966e46aafac530c8,,Islam Dulatov,Vanilton Antunes,Islam-Dulatov-236167,KO (Elbow),1
2024-10-15,2024,10,Dana White's Contender Series - Contender Series 2024: Week 10,Antonio-Monteiro-152885,Yadier-Del-Valle-293141,,47dfe6ac6c9121a0,Antonio Monteiro,Yadier del Valle,Yadier-Del-Valle-293141,Decision (Unanimous),3
2024-10-15,2024,10,Dana White's Contender Series - Contender Series 2024: Week 10,Heraldo-Souza-300743,Nick-Klein-270893,,28061eae5a6884c3,Heraldo Souza,Nick Klein,Nick-Klein-270893,Submission (Rear-Naked Choke),1
2025-08-19,2025,2,Dana White's Contender Series - Contender Series 2025: Week 2,Guilherme-Uriel-402490,Josh-Hokit-433441,,d39a1677910874e9,Guilherme Uriel,Josh Hokit,Josh-Hokit-433441,TKO (Elbows),2
2025-08-26,2025,3,Dana White's Contender Series - Contender Series 2025: Week 3,AbdulRakhman-Yakhyaev-395509,Alik-Lorenz-347505,8d4cda2a290cc491,,Abdul Rakhman Yakhyaev,Alik Lorenz,AbdulRakhman-Yakhyaev-395509,TKO (Knee to the Body and Punches),1
2025-08-26,2025,3,Dana White's Contender Series - Contender Series 2025: Week 3,Cristian-Perez-244701,Manoel-Sousa-319559,,a175cb5d70c753c6,Cristian Perez,Manoel Sousa,Manoel-Sousa-319559,TKO (Punches),3
2025-08-26,2025,3,Dana White's Contender Series - Contender Series 2025: Week 3,Darion-Abbey-255585,Donte-Johnson-414279,,62eb06895e1e4b0b,Darion Abbey,Donte Johnson,Donte-Johnson-414279,TKO (Punches),1
2025-08-26,2025,3,Dana White's Contender Series - Contender Series 2025: Week 3,Ryan-Gandra-404139,Trent-Miller-382805,85a165c98f003923,,Ryan Gandra,Trent Miller,Ryan-Gandra-404139,TKO (Punches),1
2025-09-02,2025,4,Dana White's Contender Series  - Contender Series 2025: Week 4,David-Mgoyan-417456,Tommy-McMillen-229309,,006859adbc880edd,David Mgoyan,Tommy McMillen,Tommy-McMillen-229309,Decision (Majority),3
2025-09-02,2025,4,Dana White's Contender Series  - Contender Series 2025: Week 4,Cezary-Oleksiejczuk-171801,Theo-Haig-364045,e180666d3423c42b,,Cezary Oleksiejczuk,Theo Haig,Cezary-Oleksiejczuk-171801,TKO (Punches),1
2025-09-09,2025,5,Dana White's Contender Series - Contender Series 2025: Week 5,Cam-Teague-337869,Lerryan-Douglas-77125,,26f15079cf039c8c,Cam Teague,Lerryan Douglas,Lerryan-Douglas-77125,KO (Punch),1
2025-09-09,2025,5,Dana White's Contender Series - Contender Series 2025: Week 5,Felipe-Franco-415770,Freddy-Vidal-401852,dad9b43cf7480f68,,Felipe Franco,Freddy Vidal,Freddy-Vidal-401852,Submission (Rear-Naked Choke),3
2025-09-09,2025,5,Dana White's Contender Series - Contender Series 2025: Week 5,Anthony-Guarascio-414547,Steven-Asplund-407940,,7d1e163720b62145,Anthony Guarascio,Steven Asplund,Steven-Asplund-407940,TKO (Punch and Elbows),1
2025-09-16,2025,6,Dana White's Contender Series - Contender Series 2025: Week 6,Iwo-Baraniewski-381634,Mahamed-Aly-184187,f7012ef25547fc99,,Iwo Baraniewski,Mahamed Aly,Iwo-Baraniewski-381634,KO (Punches),1
2025-09-16,2025,6,Dana White's Contender Series - Contender Series 2025: Week 6,Hecher-Sosa-236589,Macksom-Lee-320649,205e928621a6f62d,,Hecher Sosa,Macksom Lee,Hecher-Sosa-236589,Decision (Unanimous),3
2025-09-23,2025,7,Dana White's Contender Series - Contender Series 2025: Week 7,Djani-Barbir-164755,Mantas-Kondratavicius-310159,,a2abca58544b6a7b,Djani Barbir,Mantas Kondratavicius,Mantas-Kondratavicius-310159,TKO (Punches),1
2025-09-23,2025,7,Dana White's Contender Series - Contender Series 2025: Week 7,Jair-de-Oliveira-267853,Rafael-Tobias-403663,,5a7dee229b27e06c,Jair de Oliveira,Rafael Tobias,Rafael-Tobias-403663,Submission (Rear-Naked Choke),1
2025-09-30,2025,8,Dana White's Contender Series - Contender Series 2025: Week 8,Demba-Seck-386973,Kurtis-Campbell-302831,,e25181125365fbe6,Demba Seck,Kurtis Campbell,Kurtis-Campbell-302831,TKO (Elbows and Punches),1
2025-09-30,2025,8,Dana White's Contender Series - Contender Series 2025: Week 8,Damian-Pinas-426729,Vitor-Costa-355863,c212ca8a9b232259,,Damian Pinas,Vitor Costa,Damian-Pinas-426729,TKO (Punches),1
2025-10-07,2025,9,Dana White's Contender Series - Contender Series 2025: Week 9,Luke-Fernandez-376548,Rafael-Pergentino-430613,8b41d0ebea0c3e18,,Luke Fernandez,Rafael Pergentino,Luke-Fernandez-376548,TKO (Punches),1
2025-10-07,2025,9,Dana White's Contender Series - Contender Series 2025: Week 9,Imanol-Rodriguez-418935,Roque-Conceicao-Moreira-Junior-239909,1c33eb78bdc5df39,,Imanol Rodriguez,Roque Conceicao Moreira Junior,Imanol-Rodriguez-418935,TKO (Punches),1
