sherdogId,ourId,name,appearances,dwcsRecord,firstDwcsDate,bestDwcsResult,preDwcsWins,preDwcsLosses,preDwcsDraws,preDwcsSource,feederOrg,feederTier,feederRelFactor,ageAtDwcs,gotContract,ufcFights,ufcWins,ufcLosses,settledEloGain,eloAt1yr,eloAt2yr,reachedTop15
Aalon-Cruz-103485,2212a11deddf09e9,Aalon Cruz,1,1-0,2019-07-30,finishWin,7,2,0,crosswalk,Conflict MMA,tier4,,29,1,2,0,2,-6.2,1478.4,1461.5,0
Aleksa-Camur-228789,7a868cb67cd37a18,Aleksa Camur,1,1-0,2019-07-30,finishWin,4,0,0,crosswalk,Honor FC,tier4,,23,1,4,1,3,-15.5,1511.5,1476.4,0
Daniel-Rodriguez-145945,27dc95be9b98006d,Daniel Rodriguez,1,1-0,2019-07-30,decisionWin,8,1,0,crosswalk,Combate Americas,tier4,0.9612,32,1,15,10,5,20.5,1527,1544.7,1
Fabio-Cherant-230293,13c5e090b6868e27,Fabio Cherant,1,0-1,2019-07-30,noWin,4,0,0,crosswalk,CES MMA,tier4,0.9367,24,1,3,0,3,-14.3,,1477.4,0
Mariya-Agapova-206861,52626334298457ab,Mariya Agapova,1,0-1,2019-07-30,noWin,6,0,0,crosswalk,FNG,tier4,,22,1,6,2,4,-29.6,1511,1485.9,0
Michal-Martinek-242333,,Michal Martinek,1,0-1,2019-07-30,noWin,,,,none,,,,,0,0,0,0,,,,0
Rico-Farrington-135825,,Rico Farrington,1,0-1,2019-07-30,noWin,,,,none,,,,,0,0,0,0,,,,0
Rodrigo-Nascimento-97975,5de030e625a4928c,Rodrigo Nascimento,1,1-0,2019-07-30,finishWin,6,0,0,crosswalk,BH Fight,tier4,,26,1,7,4,3,-1.6,1512.2,1490.8,0
Steven-Nguyen-121057,6ff3abc1052a0921,Steven Nguyen,3,2-1,2019-07-30,finishWin,6,0,0,crosswalk,EFC,tier4,0.9607,26,1,2,1,1,-5.3,,,0
Tracy-Cortez-160955,f23f5caaf463e283,Tracy Cortez,1,1-0,2019-07-30,decisionWin,5,1,0,crosswalk,Invicta FC,tier2_5,1.0011,25,1,9,6,3,13.6,1510.4,1528.5,1
Darrick-Minner-92115,32b54efa17dd09e6,Darrick Minner,1,0-1,2019-08-06,noWin,22,9,0,crosswalk,LFA,tier3,1.0206,29,1,6,2,4,-13.9,1480,1488,0
Dwight-Joseph-106151,,Dwight Joseph,1,1-0,2019-08-06,decisionWin,,,,none,,,,,0,0,0,0,,,,0
Harvey-Park-72673,,Harvey Park,1,0-1,2019-08-06,noWin,,,,none,,,,,0,0,0,0,,,,0
Herbert-Burns-152211,aae070309e2d5bd6,Herbert Burns,1,1-0,2019-08-06,finishWin,8,2,0,crosswalk,ONE Championship,tier2_5,0.9467,31,1,6,2,4,-35.9,1529.1,1505.5,0
Jay-Perrin-99689,bf51dc1830ee0331,Jay Perrin,1,0-1,2019-08-06,noWin,8,3,0,crosswalk,Cage Titans FC,tier4,,26,1,3,0,3,-19.1,,,0
Omar-Morales-120645,0aa3f2867f59903c,Omar Morales,1,1-0,2019-08-06,finishWin,7,0,0,crosswalk,Bellator,tier2_5,0.9929,33,1,7,3,4,-13.1,1521.5,1512.4,0
