canonicalOrg,tier,graduates,meanEloGain,shrunkEloGain,relFactor,ciLo,ciHi
Future MMA,tier4,2,33.2,3.9,1.0246,0.9661,1.0791
PFL,tier2_5,36,5.4,3.8,1.0241,0.9828,1.0635
Kunlun Fight,tier4,5,14.4,3.6,1.0228,0.9787,1.0650
OFC,tier4,3,21.2,3.5,1.0223,0.9929,1.0763
Combate Global,tier4,4,16.6,3.5,1.0220,0.9974,1.0506
Oktagon MMA,tier4,5,13.7,3.4,1.0215,0.9725,1.0710
LUX,tier4,7,10.7,3.4,1.0214,0.9546,1.0837
FAC,tier4,2,28.3,3.3,1.0210,1.0062,1.0356
Thunder Fight,tier4,4,15.7,3.3,1.0208,0.9676,1.0712
LFA,tier3,112,3.7,3.2,1.0206,0.9865,1.0559
WOW,tier4,2,26.5,3.1,1.0196,1.0128,1.0264
HRMMA,tier4,2,26.1,3.0,1.0194,0.9682,1.0681
Fight Nights,tier4,5,12.1,3.0,1.0191,1.0008,1.0345
UAE Warriors,tier4,6,10.1,2.9,1.0183,0.9492,1.0832
300 Sparta,tier4,3,16.4,2.7,1.0173,0.9870,1.0468
Dream,tier4,9,7.0,2.6,1.0165,0.9823,1.0520
RCC,tier4,2,22.2,2.6,1.0165,0.9732,1.0582
Combat USA,tier4,2,20.9,2.4,1.0155,0.9928,1.0379
BAMMA,tier4,11,5.8,2.4,1.0155,0.9850,1.0499
C3 Fights,tier4,2,20.8,2.4,1.0155,1.0107,1.0202
Adventure Fighters Tournament,tier4,2,20.7,2.4,1.0154,0.9804,1.0494
FCR,tier4,2,19.9,2.3,1.0148,1.0105,1.0190
GFS,tier4,2,19.5,2.3,1.0145,0.9963,1.0325
CFS,tier4,2,19.0,2.2,1.0141,0.9856,1.0420
RIZIN,tier2_5,11,5.2,2.2,1.0140,0.9615,1.0823
WEF,tier4,4,10.4,2.1,1.0138,1.0010,1.0271
United Glory,tier4,2,17.4,2.0,1.0130,1.0129,1.0130
EBD,tier4,2,17.2,2.0,1.0128,0.9808,1.0442
Inka,tier4,4,9.4,1.9,1.0125,0.9816,1.0395
LXF,tier4,2,16.7,1.9,1.0125,0.9911,1.0335
Fight Time,tier4,3,11.8,1.9,1.0124,0.9915,1.0331
GKO,tier4,7,5.8,1.8,1.0118,0.9598,1.0658
X-1,tier4,4,8.3,1.7,1.0111,0.9818,1.0651
Ringside MMA,tier4,4,7.9,1.6,1.0105,0.9961,1.0254
MMA Xtreme,tier4,2,13.9,1.6,1.0103,0.9873,1.0330
WVC,tier4,3,9.4,1.5,1.0099,1.0076,1.0121
Dakota FC,tier4,2,13.2,1.5,1.0098,0.9888,1.0306
KOP,tier4,2,12.6,1.4,1.0094,0.9889,1.0296
Bodog Fight,tier4,5,5.8,1.4,1.0093,0.9814,1.0587
WFF,tier4,2,12.1,1.4,1.0090,0.9848,1.0329
CC,tier4,5,5.6,1.4,1.0088,0.9801,1.0379
United Fight League,tier4,2,11.3,1.3,1.0084,0.9820,1.0346
NLFC,tier4,3,7.7,1.2,1.0082,0.9540,1.0612
UCMMA,tier4,8,3.4,1.1,1.0075,0.9910,1.0260
Anthony Pettis FC,tier4,2,10.1,1.1,1.0075,0.9879,1.0270
UFL,tier4,2,9.8,1.1,1.0073,0.9912,1.0233
MD,tier4,3,6.8,1.1,1.0072,0.9944,1.0199
Challenge MMA,tier4,2,9.4,1.1,1.0070,1.0059,1.0081
ISCF,tier4,4,4.9,1.0,1.0066,1.0014,1.0134
ExciteFight,tier4,3,6.1,1.0,1.0064,0.9806,1.0500
MF,tier4,7,3.0,0.9,1.0062,0.9916,1.0198
IFC WC,tier4,7,2.8,0.9,1.0058,0.9948,1.0201
SHC,tier4,2,7.5,0.8,1.0056,0.9933,1.0179
MMA Attack,tier4,2,6.9,0.8,1.0052,0.9937,1.0166
USA MMA,tier4,4,3.8,0.8,1.0051,0.9689,1.0573
Pinnacle FC,tier4,2,6.8,0.8,1.0051,0.9910,1.0191
SFS,tier4,6,2.7,0.7,1.0050,0.9705,1.0343
OMMAC,tier4,2,6.0,0.7,1.0045,1.0012,1.0077
EC,tier4,31,1.0,0.6,1.0042,0.9899,1.0187
RSF,tier4,4,3.1,0.6,1.0042,0.9952,1.0172
Euphoria,tier4,3,3.8,0.6,1.0041,0.9967,1.0115
King of the Cage,tier3,73,0.7,0.6,1.0041,0.9821,1.0278
CZ,tier4,3,3.8,0.6,1.0040,0.9961,1.0120
SB,tier4,16,1.1,0.5,1.0036,0.9837,1.0248
CCFC,tier4,2,4.8,0.5,1.0036,1.0001,1.0071
CG,tier4,3,3.4,0.5,1.0036,0.9969,1.0102
Cageside Promotions / KCFA,tier4,2,4.6,0.5,1.0035,0.9807,1.0262
Rings,tier4,6,1.8,0.5,1.0034,0.9985,1.0085
XKO,tier4,4,2.2,0.4,1.0030,0.9714,1.0328
PLMMA,tier4,2,3.5,0.4,1.0026,0.9961,1.0091
Heat,tier4,2,3.0,0.3,1.0022,1.0000,1.0044
UWC,tier4,5,1.3,0.3,1.0021,0.9824,1.0254
IVC,tier4,2,2.1,0.2,1.0016,0.9979,1.0053
BRI,tier4,4,0.9,0.2,1.0013,0.9963,1.0068
Invicta FC,tier2_5,61,0.2,0.1,1.0011,0.9621,1.0434
WFL,tier4,2,1.4,0.1,1.0010,0.9802,1.0218
Eternal MMA,tier4,8,0.3,0.1,1.0008,0.9473,1.0561
MB,tier4,2,0.1,-0.0,1.0001,0.9969,1.0033
iFF,tier4,2,0.0,-0.0,1.0001,0.9845,1.0156
TKO,tier4,12,-0.1,-0.1,0.9999,0.9598,1.0446
Shooto,tier3,60,-0.1,-0.1,0.9997,0.9677,1.0333
GCM,tier4,2,-0.5,-0.1,0.9997,0.9970,1.0023
UVF,tier4,4,-0.4,-0.1,0.9996,0.9974,1.0019
Fight Party,tier4,2,-0.7,-0.1,0.9995,0.9874,1.0117
UCS,tier4,2,-0.7,-0.1,0.9995,0.9961,1.0029
Imortal FC,tier4,2,-0.7,-0.1,0.9995,0.9930,1.0059
RW,tier4,2,-0.9,-0.1,0.9994,0.9910,1.0077
Legend FC,tier4,2,-0.9,-0.2,0.9993,0.9853,1.0134
CS,tier4,2,-1.1,-0.2,0.9993,0.9742,1.0244
