fmId,name,dwcsDate,pitRegionalElo,priorBouts,ageAtDwcs,reachedTop15
189265,Claudia Leite,2022-08-16,1586.9,10,25.8,0
135381,Logan Urban,2021-09-07,1553.9,6,27.4,0
167248,Erisson Ferreira,2022-08-23,1600.8,13,31.3,0
205062,Cameron Saaiman,2022-08-23,1579.3,5,21.7,0
142590,Josh Wang Kim,2022-08-23,1565.3,6,,0
143790,Darrius Flowers,2022-08-23,1573.8,17,28.0,0
172729,Amiran Gogoladze,2022-08-23,1638.4,16,24.7,0
163117,Mick Parkin,2022-08-23,1571.2,5,26.9,0
226340,Eduardo Neves,2022-08-23,1586.0,5,22.4,0
237655,Denise Gomes,2022-08-23,1567.9,6,22.6,1
164980,Rayanne dos Santos,2022-08-23,1560.7,16,27.2,0
115894,Alex Morgan,2022-08-30,1578.8,15,,0
138307,Blake Bilder,2022-08-30,1585.7,7,32.1,0
175512,Maria Silva,2022-08-30,1615.3,8,,0
237869,Yusaku Kinoshita,2022-08-30,1576.6,6,22.0,0
225102,Jose Henrique Souza,2022-08-30,1584.7,5,,0
140968,Gabriel Bonfim,2022-09-06,1646.6,12,25.0,1
206112,Trey Waters,2022-09-06,1591.1,6,27.5,0
86809,Ismael Bonfim,2022-09-06,1640.7,20,,0
119119,Nariman Abbasov,2022-09-06,1714.5,31,28.6,0
174902,Vitor Petrino,2022-09-06,1594.7,6,25.0,0
180699,Rodolfo Bellato,2022-09-06,1601.8,9,26.6,0
212556,Karl Williams,2022-09-06,1574.5,7,32.7,0
207322,Jimmy Lawson,2022-09-06,1553.4,5,30.8,0
187320,Tereza Bleda,2022-09-06,1592.3,5,20.8,0
171854,Nayara Maia,2022-09-06,1605.9,8,32.1,0
159073,Farid Basharat,2022-09-13,1612.5,8,25.1,1
147697,Allan Begosso,2022-09-13,1588.4,9,26.8,0
149367,Ikram Aliskerov,2022-09-13,1646.1,13,29.8,1
150410,Daniel Marcos,2022-09-13,1642.2,12,29.5,0
162960,Brandon Lewis,2022-09-13,1587.5,7,25.1,0
187312,Trevor Peek,2022-09-13,1594.7,6,27.7,0
139829,Malik Lewis,2022-09-13,1579.4,5,26.5,0
139638,Bruna Brasil,2022-09-13,1558.3,10,29.0,0
188502,Marnic Mann,2022-09-13,1584.6,5,29.5,0
215857,Raul Rosas Jr.,2022-09-20,1584.7,5,17.9,1
187081,Mando Gutierrez,2022-09-20,1592.9,8,25.6,0
214006,Brunno Ferreira,2022-09-20,1614.1,8,29.9,0
160012,Leon Aliu,2022-09-20,1618.6,11,33.2,0
108276,Josh Wick,2022-09-20,1601.0,18,28.0,0
184686,Nurullo Aliev,2022-09-20,1604.2,7,21.8,0
245160,Richard Jacobi,2022-09-20,1588.7,7,29.0,0
202250,Donovan Beard,2022-09-27,1591.3,8,32.9,0
