sherdogId,name,beatUFCBound,lostToUFCBound,topMultiplier,lastDate,notableWins
Nuerdebieke-Bahetihan-239101,Nuerdebieke Bahetihan,1,1,0.35,2020-11-27,beat Shayilan Nuerdanbieke (2016-06-06)
Fabio-Verediano-165875,Fabio Verediano,1,0,0.55,2020-11-13,beat Alexandre Barros (2020-11-13)
Luis-Muro-81965,Luis Muro,1,1,0.68,2020-11-12,beat Devin Powell (2020-11-12)
Lorrany-Santos-319145,Lorrany Santos,1,0,0.55,2020-11-08,beat Tainara Lisboa (2020-11-08)
Kailan-Hill-232313,Kailan Hill,1,2,0.78,2020-11-07,beat Adam Fugitt (2018-09-28)
Artem-Damkovsky-49565,Artem Damkovsky,1,3,0.55,2020-11-06,beat Mairbek Taisumov (2010-10-28)
Vinicius-de-Jesus-133401,Vinicius de Jesus,1,1,0.68,2020-11-05,beat Jeremiah Wells (2019-03-29)
Yuta-Watanabe-9452,Yuta Watanabe,1,2,0.55,2020-11-01,beat Ansar Chalangov (2008-04-03)
Edwin-Cooper-Jr-304487,Edwin Cooper Jr.,1,0,0.55,2020-10-30,beat Ethyn Ewing (2020-10-30)
Deivison-Francisco-Ribeiro-41188,Deivison Francisco Ribeiro,1,3,0.35,2020-10-30,beat Waylon Lowe (2014-09-27)
Kevin-Belingon-40881,Kevin Belingon,1,1,0.68,2020-10-30,beat Muin Gafurov (2016-10-07)
Rico-Farrington-135825,Rico Farrington,1,2,0.78,2020-10-30,beat William Macario (2020-10-30)
Lupita-Godinez-246543,Lupita Godinez,1,0,0.55,2020-10-30,beat Vanessa Demopoulos (2020-10-30)
Rene-Pessoa-131217,Rene Pessoa,1,1,0.35,2020-10-23,beat Wendell Oliveira Marques (2020-10-23)
Pedro-Nobre-44211,Pedro Nobre,1,4,0.55,2020-10-16,beat Matheus Nicolau (2012-12-09)
Daiana-Torquato-143183,Daiana Torquato,1,1,0.35,2020-10-10,beat Sarah Frota (2020-10-10)
