organisation,tier,tierMultiplier,needsReview,fightCount,sampleEvent
URC,tier4,0.35,true,23,URC 1 - Urban Rumble Championships 1
MARS,tier4,0.35,true,23,MARS - MARS
VTJ,tier4,0.35,true,23,VTJ 1999 - Vale Tudo Japan 1999
UA,tier4,0.35,true,23,UA 4 - King of the Mountain
Extreme Wars,tier4,0.35,true,23,Extreme Wars 3 - Bay Area Brawl
Mainstream MMA,tier4,0.35,true,23,Mainstream MMA - Mehmen vs. Monaghan
M4tC,tier4,0.35,true,22,M4tC 27 - Vendetta
V3 Fights,tier4,0.35,true,22,V3 Fights - Sanders vs. Anders
CWM MMA,tier4,0.35,true,22,"CWM MMA - Chin Woo Men: 2017-2018 Season, Stage 4"
CITC,tier4,0.35,true,22,CITC 11 - Xtreme Couture vs. Southern California
Alash Pride,tier4,0.35,true,22,Alash Pride - Royal Plaza Volume 2
Grachan,tier4,0.35,true,22,Grachan - Grachan 66
NEF,tier4,0.35,true,22,NEF - Lookin' for a Fight
USA MMA,tier4,0.35,true,22,USA MMA - Night of Champions 2
HFP,tier4,0.35,true,22,HFP - Hitman Fighting Productions
IFF,tier4,0.35,true,22,IFF 1 - International Freestyle Fighting 1
FFP,tier4,0.35,true,22,FFP - Untamed 26
ICC,tier4,0.35,true,22,ICC - Trials 2
WCF,tier4,0.35,true,21,WCF 1 - Warrior Championship Fighting 1
Combat Zone,tier4,0.35,true,21,Combat Zone 76 - Combat Zone MMA
LFL,tier4,0.35,true,21,LFL 11 - Levels Fight League 11
Imortal FC,tier4,0.35,true,21,Imortal FC 4 - Dynamite
CFP,tier4,0.35,true,21,CFP 3 - Curitiba Fight Pro 3
Fierce FC,tier4,0.35,true,21,Fierce FC 15 - Hatch vs. Curtis
WC,tier4,0.35,true,21,WC - Warriors Challenge 5
Pinnacle FC,tier4,0.35,true,21,Pinnacle FC - Pittsburgh Challenge Series 7
Cageside Promotions / KCFA,tier4,0.35,true,21,Cageside Promotions / KCFA - Kansas City Fighting Alliance 34: Fight 4 The Troops
FX3,tier4,0.35,true,21,FX3 - Battle of Britain
BB,tier4,0.35,true,21,BB - Bluegrass Brawl 8
Nitro MMA,tier4,0.35,true,21,Nitro MMA - Nitro 13
KK,tier4,0.35,true,21,KK 8 - Kombat Komplett
MMA,tier4,0.35,true,21,MMA - Event
HCF,tier4,0.35,true,21,HCF - Destiny
CVFA,tier4,0.35,true,21,CVFA - Friday Night Fights
Talent MMA Circuit,tier4,0.35,true,20,Talent MMA Circuit 6 - Curitiba 2014
Z Promotions,tier4,0.35,true,20,Z Promotions - Fight Night 3: Medicine Hat
Babilon MMA,tier4,0.35,true,20,Babilon MMA 51 - Kolecki vs. Mysiala
Desert Force,tier4,0.35,true,20,Desert Force 17 - Homecoming
Rizin Fighting World Grand Prix,tier2_5,0.68,false,20,Rizin Fighting World Grand Prix 2017 - Bantamweight Tournament: Final Round
IGF,tier4,0.35,true,20,IGF - Inoki Genome Fight 4
Combat,tier4,0.35,true,20,Combat - Do Fighting Challenge 4
UAGF,tier4,0.35,true,20,UAGF - Kaos on the Kampus
IMC,tier4,0.35,true,20,IMC - Extreme
RW,tier4,0.35,true,20,RW 10 - Mayhem in the Mist 5
IFO,tier4,0.35,true,20,IFO - Itajuba Freestyle Open
UG,tier4,0.35,true,20,UG 11 - A Decade of Fights
FCFF,tier4,0.35,true,19,FCFF - Rumble at the Roseland 80
COTC,tier4,0.35,true,19,COTC - Conquest of the Cage 11
DB,tier4,0.35,true,19,DB 10 - DesertBrawl 10
Shooto Finland,tier3,0.55,false,19,Shooto Finland - Chicago Collision 3
K-1 HERO's,tier4,0.35,true,19,K-1 HERO's - Tournament Final
WCFC,tier4,0.35,true,19,WCFC - No Guts No Glory
IAFC,tier4,0.35,true,19,IAFC - Stage of Russia Cup 3
Driller Promotions,tier4,0.35,true,18,Driller Promotions - Mecca 16
ECSF,tier4,0.35,true,18,ECSF - Battle of Bessarabia
CCC,tier4,0.35,true,18,CCC 21 - Colorado Combat Club 21
Combate,tier4,0.35,true,18,Combate 30 - Combate Baja
PLMMA,tier4,0.35,true,18,PLMMA 44 - Biezun
WXF,tier4,0.35,true,18,WXF - X-Impact World Championships 2005
