organisation,tier,tierMultiplier,needsReview,fightCount,sampleEvent
MMA Total Combat,tier4,0.35,true,1,MMA Total Combat 2 - Carvalho vs. Simetti
Southside Boxing,tier4,0.35,true,1,Southside Boxing - War on the Valley Isle 6
Sitpholek,tier4,0.35,true,1,Sitpholek - International Thai Boxing Charity Gala 2013
Muchzhima MMA,tier4,0.35,true,1,Muchzhima MMA - Cage Wars 1
RMAU,tier4,0.35,true,1,RMAU - Musail Alaudinov Selection
Genesis Desert Combat Legion,tier4,0.35,true,1,Genesis Desert Combat Legion - Rocky Point Fight Night
WTC,tier4,0.35,true,1,WTC 5 - Welcome to the Cage 5
Gladiadores del Sur -,tier4,0.35,true,1,Gladiadores del Sur -
Raging Warrior Cage Combat,tier4,0.35,true,1,Raging Warrior Cage Combat - Battle at the Ballroom
Grant's Martial Arts,tier4,0.35,true,1,Grant's Martial Arts - Cage Time 5: Fight for the Troops
White Night Fighting Championship,tier4,0.35,true,1,White Night Fighting Championship - Elets Battle
Altay Republik MMA League,tier4,0.35,true,1,Altay Republik MMA League - Altay vs. Siberia
CUBU,tier4,0.35,true,1,CUBU - Night of Masters 11
NBR,tier4,0.35,true,1,NBR - Nord Bohemia Ring
FightFest,tier4,0.35,true,1,FightFest - Black and Blues Tour
Gracie Fighting League,tier4,0.35,true,1,Gracie Fighting League - Brawl at the Buckeye
2 Piece Promotions,tier4,0.35,true,1,2 Piece Promotions - War at the Wex 7
Baikal Fighting Championship,tier4,0.35,true,1,Baikal Fighting Championship - Selection 5: Steel Battle
MGL-1,tier4,0.35,true,1,MGL-1 - MGL-1 FC 7
Slay Marketing,tier4,0.35,true,1,Slay Marketing - Fight Night Returns
SM,tier4,0.35,true,1,SM - Slay Marketing
Latin American Championship,tier4,0.35,true,1,Latin American Championship - The One
Eye,tier4,0.35,true,1,Eye 4N Eye Fighting Championships - MMA Throwdown
PMMA,tier4,0.35,true,1,PMMA - Pugilatus MMA
GOV,tier4,0.35,true,1,GOV 2 - Total Elimination Absolute
Contest MMA,tier4,0.35,true,1,Contest MMA - Argentina vs. Chile
Sin Piedad,tier4,0.35,true,1,Sin Piedad - Argentina vs. Mexico
ROD,tier4,0.35,true,1,ROD - Cage Rage at the Mirage 4
Evolution FC,tier4,0.35,true,1,Evolution FC - Evolution Fight Combat 3
IVT,tier4,0.35,true,1,IVT - Icoaraci Vale Tudo
Zero,tier4,0.35,true,1,Zero 2 Fight - Vale Tudo
IRY,tier4,0.35,true,1,IRY - Icoaraci Rematch of the Year
Odense Fight Night,tier4,0.35,true,1,Odense Fight Night 5 - Last Call
MMACC,tier4,0.35,true,1,MMACC - MMA Corona Cup 20
Astana Fight Club,tier4,0.35,true,1,Astana Fight Club 2 - Kazakhstan Mix Fight Championship
PMFC,tier4,0.35,true,1,PMFC 2 - Profi Mix Fight Championship
CAMGFC,tier4,0.35,true,1,CAMGFC - Curitibanos AMG Fight Champion 6
Encontro dos Espartanos,tier4,0.35,true,1,Encontro dos Espartanos 1 - Encounter of the Spartans
Sao Joao Super Fight,tier4,0.35,true,1,Sao Joao Super Fight - Forja de Campeoes
HSC,tier4,0.35,true,1,HSC - Hualsur Sport Combat
NDLS,tier4,0.35,true,1,NDLS 2 - Argentina vs. Brazil
IB,tier4,0.35,true,1,IB - International Boxing
KOCP,tier4,0.35,true,1,KOCP - Knock Out Club 12
Fight Factory Gym,tier4,0.35,true,1,Fight Factory Gym - E-1 World Championship
Golden Team,tier4,0.35,true,1,Golden Team - Mytishchi Arena Cup
King of the Ring,tier4,0.35,true,1,King of the Ring - VI
AM Ford Fight Night,tier4,0.35,true,1,AM Ford Fight Night 2012 - Demolition
Cage Warrior,tier4,0.35,true,1,Cage Warrior 3 - Knockout in the Cage Selection
Slam FC,tier4,0.35,true,1,Slam FC 7 - Nemesis
FIKBMS,tier4,0.35,true,1,FIKBMS - Memorial Fabio Arbeia 7
MMAB,tier4,0.35,true,1,MMAB - MMA Bundesliga 2
Brutaal Genesis Iowa,tier4,0.35,true,1,Brutaal Genesis Iowa - Fight Night at Hy-Vee Hall
SBBF,tier4,0.35,true,1,SBBF - Super Bad Boy's Fight 3
Boxe Thai Belem,tier4,0.35,true,1,Boxe Thai Belem - Super Fight
Zak Cummings Promotions,tier4,0.35,true,1,Zak Cummings Promotions - Stronger Men's Conference 2018
Racine Fight Night,tier4,0.35,true,1,Racine Fight Night 5 - Thanksgiving Thrash
Wisconsin Cage Fighting,tier4,0.35,true,1,Wisconsin Cage Fighting 1 - Battle at the Bleachers
LeLeo Code MMA,tier4,0.35,true,1,LeLeo Code MMA - Winter Fightfest Pro
Mach Matsuri,tier4,0.35,true,1,Mach Matsuri - Mach Festival 2018
Pezao Combate,tier4,0.35,true,1,Pezao Combate - Raulian vs. Miojo
MMA Experience,tier4,0.35,true,1,MMA Experience 5 - Game Edition
LM,tier4,0.35,true,1,LM - Tournament 3
KTAF,tier4,0.35,true,1,KTAF - KTA Fight 1
Cage Fighting Promotion MMA,tier4,0.35,true,1,Cage Fighting Promotion MMA - Kletka Fight Night 6
KapiranGoat / UGB MMA,tier4,0.35,true,1,KapiranGoat / UGB MMA - KapiranGoat Fight Nights 4
Fox Fight Joacaba,tier4,0.35,true,1,Fox Fight Joacaba - Fox Fight 1
NOVA FC,tier4,0.35,true,1,NOVA FC 1 - A Star is Born
Hype FC,tier4,0.35,true,1,Hype FC 8 - Rumble in the Cage
Magdeburger Cage,tier4,0.35,true,1,Magdeburger Cage 1 - MMA & Caged Muay Thai
Cage Survivor,tier4,0.35,true,1,Cage Survivor - The Battle 17
SWMMA,tier4,0.35,true,1,SWMMA - Spartan Warriors MMA
RadMer,tier4,0.35,true,1,RadMer 1  - 2 Round
TKO Fight Alliance,tier4,0.35,true,1,TKO Fight Alliance - Knockout Nights
World MMA Council,tier4,0.35,true,1,World MMA Council - Mexican Standoff
Warfare Xtreme Cagefighting,tier4,0.35,true,1,Warfare Xtreme Cagefighting - Caged Controversy
Hulett Productions,tier4,0.35,true,1,Hulett Productions - First Blood
Khasavyurt Fight,tier4,0.35,true,1,Khasavyurt Fight - Dagestan MMA Open Cup 2014
Sparta Martial Arts Club,tier4,0.35,true,1,Sparta Martial Arts Club - Team Sosnovy Bor vs. Team Leningrad Oblast
S&S,tier4,0.35,true,1,S&S - Shoot & Sprawl 2
MMASC,tier4,0.35,true,1,MMASC - MMA Sports Combat 2
Futhar MMA,tier4,0.35,true,1,Futhar MMA - FMMA 5
ATS,tier4,0.35,true,1,ATS 1 - ATS Kombat 1
Gladiadores Extremos,tier4,0.35,true,1,Gladiadores Extremos - Dark Night
G-Shooto,tier4,0.35,true,1,G-Shooto - G-Shooto 05
KO Boxing,tier4,0.35,true,1,KO Boxing - Warzone 2
Shogun Team,tier4,0.35,true,1,Shogun Team - Fight Day 1
KHK MMA National Tryouts,tier4,0.35,true,1,KHK MMA National Tryouts - Finale 2015
Ainofea,tier4,0.35,true,1,Ainofea - Cage Fights
Melee,tier4,0.35,true,1,Melee 5 - Melee Combat Championship 5
Emir Fighting Championship,tier4,0.35,true,1,Emir Fighting Championship - EFC Selection 1
Student League MMA,tier4,0.35,true,1,Student League MMA - Ivanov vs. Karapetyan
MuscleBoss,tier4,0.35,true,1,MuscleBoss - Bope Fight
Prime Fights,tier4,0.35,true,1,Prime Fights - TFO - Prime Fights #01
Quality FC,tier4,0.35,true,1,Quality FC - Quality Fighting Championship
Nomad MMA / N1 Pro / WFN,tier4,0.35,true,1,Nomad MMA / N1 Pro / WFN - 2014 Championship of Asia
Warriors Honor,tier4,0.35,true,1,Warriors Honor - Mayor's Cup
FoPoKC,tier4,0.35,true,1,FoPoKC - Cup of Friendship
Ultimatum MMA,tier4,0.35,true,1,Ultimatum MMA - 2K9 Unlimited
P5,tier4,0.35,true,1,P5 - Punishers 5
P4,tier4,0.35,true,1,P4 - Punishers 4
LPFC,tier4,0.35,true,1,LPFC - La Plata Fight Club
GAMMA Championship,tier4,0.35,true,1,GAMMA Championship - Caucasian Rage 2
Bokum FC,tier4,0.35,true,1,Bokum FC - Bokum Fight Championship
First Fight,tier4,0.35,true,1,First Fight - Revelations
MMA Championship,tier4,0.35,true,1,MMA Championship - MMA Championship 1
Global Fight Club,tier4,0.35,true,1,Global Fight Club - GFC Challenge
BRTL,tier4,0.35,true,1,BRTL 4 - Bryan vs. Cangaty
Para Fight,tier4,0.35,true,1,Para Fight 1 - Mondragon vs. Tourun
SCS Fights,tier4,0.35,true,1,SCS Fights 33 - Sugar Creek Showdown 33
SMMAC,tier4,0.35,true,1,SMMAC - Swiss MMA Championship 1
Inhumas Fight Championship,tier4,0.35,true,1,Inhumas Fight Championship - IFC MMA Combat 6
Combat FC / WMMAL,tier4,0.35,true,1,Combat FC / WMMAL - Combat FC 1: Inception
Just MMA,tier4,0.35,true,1,Just MMA 3 - Just CKF: Hong Kong 2
MVVT,tier4,0.35,true,1,MVVT - Macapa Verdadeiro Vale Tudo
UNU,tier4,0.35,true,1,UNU 1 - Seek and Destroy
PXC Live,tier4,0.35,true,1,PXC Live 1 - PXC Live
Tormenta en el Ring,tier4,0.35,true,1,Tormenta en el Ring - Tormenta en el Ring
SAARFC,tier4,0.35,true,1,SAARFC 8 - Solid as a Rock Fighting Championships
WCK Muay Thai,tier4,0.35,true,1,WCK Muay Thai - Team WCK vs. Team Wu Lin Feng
Sparta Combat League,tier4,0.35,true,1,Sparta Combat League - SCL: Sparta 95
Valor Fights x Conflict MMA,tier4,0.35,true,1,Valor Fights x Conflict MMA - Worlds Collide
Lanzarote Arena,tier4,0.35,true,1,Lanzarote Arena 2 - Mixed Martial Arts
Jet Global Fitness Center,tier4,0.35,true,1,Jet Global Fitness Center - Jet Challenge
GWF,tier4,0.35,true,1,GWF 2 - Gladiator World Fight
BOC (PL),tier4,0.35,true,1,BOC (PL) - Battle of Champions
FC,tier4,0.35,true,1,FC - Battle of Warsaw
Xtreme Combat Promotions,tier4,0.35,true,1,Xtreme Combat Promotions - Burlington Beatdown
BOMAC,tier4,0.35,true,1,BOMAC - Bahamas Open Martial Arts Championship 2
Golden Fights,tier4,0.35,true,1,Golden Fights - Cage Wars 33
OFP,tier4,0.35,true,1,OFP - Warrior Games 17
CCP,tier4,0.35,true,1,CCP - Complete Cage Promotions
Great Lakes Combat Association,tier4,0.35,true,1,Great Lakes Combat Association - The Battle At Bad River
Alfenas Balada Fight,tier4,0.35,true,1,Alfenas Balada Fight 1 - Almeida vs. Viana
Dollar D Promotions,tier4,0.35,true,1,Dollar D Promotions - Rattler Rumble
Golden Lotus Productions,tier4,0.35,true,1,Golden Lotus Productions - Fostoria Fight Night
Fam Fight,tier4,0.35,true,1,Fam Fight - Fam Fight Night
Interior Fight,tier4,0.35,true,1,Interior Fight - Fight For Your Destiny
Pegada Magazine,tier4,0.35,true,1,Pegada Magazine - Desafio Revista Pegada
Golden Boy Promotions,tier4,0.35,true,1,Golden Boy Promotions - Bally's Fight Night
MSA,tier4,0.35,true,1,MSA 3 - Mixed Submission and Strike Arts 3
Force FC,tier4,0.35,true,1,Force FC - Force Fighting Championship 1
MMA International,tier4,0.35,true,1,MMA International 2018 - Reyno vs. Kakiuchi
RXC,tier4,0.35,true,1,RXC 2 - Rivera Xtreme Challenge 2
ITS,tier4,0.35,true,1,ITS - International Thai Stadium 2
VOK,tier4,0.35,true,1,VOK 1 - Valley of Kings
W4W,tier4,0.35,true,1,W4W - Warriors 4 Warriors 1
ProFC / GM Fight,tier4,0.35,true,1,ProFC / GM Fight - Ukraine Cup 3
BSCF,tier4,0.35,true,1,BSCF - Siberian Challenge 1
Shooto Russia,tier3,0.55,false,1,Shooto Russia - Against The War
UMMAP,tier4,0.35,true,1,UMMAP - Union MMA Pro
Northwest League of Combat Sambo,tier4,0.35,true,1,Northwest League of Combat Sambo - Road to China 3
Suvorov FC,tier4,0.35,true,1,Suvorov FC - Suvorov Fighting Championship
Mushin Fighting,tier4,0.35,true,1,Mushin Fighting 3 - Open Golden Cup 3
MAX FC,tier4,0.35,true,1,MAX FC - Max Monster 2
Thailand Ring Wars,tier4,0.35,true,1,Thailand Ring Wars - TRW 3
FCE,tier4,0.35,true,1,FCE - Collision
Dead Serious MMA / XCC,tier4,0.35,true,1,Dead Serious MMA / XCC - Defiant
DE,tier4,0.35,true,1,DE - Desert Extreme
Tattoo Monkey Promotions / LHC Promotions,tier4,0.35,true,1,Tattoo Monkey Promotions / LHC Promotions - Bad Blood Fight Night 2
Battle in the Cage,tier4,0.35,true,1,Battle in the Cage - Young Blood
Global Fighting Promotions,tier4,0.35,true,1,Global Fighting Promotions - Dominant Knockout 1
West Combat,tier4,0.35,true,1,West Combat 1 - Dos Santos vs. Lazart
Fenix Combat Mixed,tier4,0.35,true,1,Fenix Combat Mixed - FC1 Combat MMA
DOC,tier4,0.35,true,1,DOC 1 - Dynasty of Combat 1
RMP,tier4,0.35,true,1,RMP - Ultimate Rage 1
KSW Epic,tier3,0.55,false,1,KSW Epic - Khalidov vs. Adamek
NCVT,tier4,0.35,true,1,NCVT - Natal Cage Vale Tudo
BBVT,tier4,0.35,true,1,BBVT - Black Bull Vale Tudo
Open Fighting Championship,tier4,0.35,true,1,Open Fighting Championship - MFP 254 x Open FC 52
COH,tier4,0.35,true,1,COH 85 - Cage of Honor 85
OTCMMA,tier4,0.35,true,1,OTCMMA - Vengence
Eglin Air Force Base,tier4,0.35,true,1,Eglin Air Force Base - Strike Fight
CGC,tier4,0.35,true,1,CGC 1 - Cage Gladiators Championship 1
Fights Factory,tier4,0.35,true,1,Fights Factory - Sabori vs. Enriquez
Galan Lord of the Cage,tier4,0.35,true,1,Galan Lord of the Cage - Lord of the Cage 1
Super League MMA,tier4,0.35,true,1,Super League MMA 3 - Le Normand Is Back!
The Golden Cage,tier4,0.35,true,1,The Golden Cage 3 - Damiani vs. Saccaro
Praedator FC,tier4,0.35,true,1,Praedator FC 4 - Praedator Is Back!
KGFF,tier4,0.35,true,1,KGFF - Kickboxing Gala Free-Fight
PXFC,tier4,0.35,true,1,PXFC - Pro XFC 1
Baja Cage Fighting,tier4,0.35,true,1,Baja Cage Fighting - Beach Fights
AMA,tier4,0.35,true,1,AMA 5 - Altitude Martial Arts 5
Argos MMA,tier4,0.35,true,1,Argos MMA - Argos MMA Fighting
ANFC,tier4,0.35,true,1,ANFC 2 - Alianza National Full Contact 2
AOS6,tier4,0.35,true,1,AOS6 - Art of Scrap 6: Stirn vs. MacDonald
LCS,tier4,0.35,true,1,LCS 21 - Legion Combat Sports: Relentless
GFF,tier4,0.35,true,1,GFF 7 - Gladiators Free Fight 7
SUW,tier4,0.35,true,1,SUW - StandUpWar 4
EOTT,tier4,0.35,true,1,EOTT - Eye of the Tiger
BoW (KR),tier4,0.35,true,1,BoW (KR) - Battle of Warriors 2
Soul FC,tier4,0.35,true,1,Soul FC 2 - The Next Battle
SDC MMA,tier4,0.35,true,1,SDC MMA - Samurais do Cerrado
AFF,tier4,0.35,true,1,AFF - Arena Fire Fight Championship 5
NP Fight Night,tier4,0.35,true,1,NP Fight Night - Felicio vs. Frota
Go Yang MMA,tier4,0.35,true,1,Go Yang MMA - Go Yang MMA
MKC,tier4,0.35,true,1,MKC - Mortal Kombat Championship 1
Warriors Combat -,tier4,0.35,true,1,Warriors Combat -
Smash Fight,tier4,0.35,true,1,Smash Fight 3 - Rising Stars
CM System,tier4,0.35,true,1,CM System - Challenger
AGF,tier4,0.35,true,1,AGF - Arena Gold Fights 2
Camp Lejeune,tier4,0.35,true,1,Camp Lejeune - For The Leathernecks 4
Fabriq MMA,tier4,0.35,true,1,Fabriq MMA - Fabriq 2
Backstreet Fights,tier4,0.35,true,1,Backstreet Fights 2 - Rematch
Baltic Fights,tier4,0.35,true,1,Baltic Fights - Baltic Challenge 8
Xtreme Warfare,tier4,0.35,true,1,Xtreme Warfare - Inauguration
IKombat / Ichigeki,tier4,0.35,true,1,IKombat / Ichigeki - Ichiban Kombat Championship
Iquitos Combat Championship,tier4,0.35,true,1,Iquitos Combat Championship - ICC 6
Fight or Nothing,tier4,0.35,true,1,Fight or Nothing - Road to Bellator
Hells Angels Eternal City,tier4,0.35,true,1,Hells Angels Eternal City - 2nd Bikes and Fights Night
Storm,tier4,0.35,true,1,Storm 9 - Pennese vs. Sircu
Deathroll MMA,tier4,0.35,true,1,Deathroll MMA - There's Gonna Be A Fight Tonight 2
Punisher Promotions,tier4,0.35,true,1,Punisher Promotions - Victory One Championships
Aftershock,tier4,0.35,true,1,Aftershock 26 - Girdham vs. Moses
T2T,tier4,0.35,true,1,T2T - Toe 2 Toe Fights 2
Coliseum To The Cage,tier4,0.35,true,1,Coliseum To The Cage - Ruckus
Cherokee Street,tier4,0.35,true,1,Cherokee Street - United MMA Bash
IFP,tier4,0.35,true,1,IFP - Immortals Fight Promotions 1
FI,tier4,0.35,true,1,FI - Fight Impact
The Conqueror Fight,tier4,0.35,true,1,The Conqueror Fight - The Conqueror 2
The Lion Fight Series,tier4,0.35,true,1,The Lion Fight Series - TFS 2: KLB vs. Lucas
Wocs,tier4,0.35,true,1,Wocs 55 -  Watch Out Combat Show 55
Serbia,tier4,0.35,true,1,Serbia - Australia
Ultimate Promotions,tier4,0.35,true,1,Ultimate Promotions - Total Termination
Cage Warriors,tier3,0.55,false,1,Cage Warriors - Unplugged 2
Strength & Honour,tier4,0.35,true,1,Strength & Honour - Contenders 1
TVT,tier4,0.35,true,1,TVT - Tribus de Vale Tudo
FEMMAESP,tier4,0.35,true,1,FEMMAESP - Cup 1
Stigado,tier4,0.35,true,1,Stigado - Pro Fight 2010
Gorilla Warfare,tier4,0.35,true,1,Gorilla Warfare 3 - Confrontation
TFB,tier4,0.35,true,1,TFB - Top Fight Brasil
FBMMA,tier4,0.35,true,1,FBMMA 1 - Colorado vs. New Mexico
EC / Conflict MMA,tier4,0.35,true,1,EC / Conflict MMA - Extreme Challenge 211
LAFL,tier4,0.35,true,1,LAFL - Fight Champions Cup
Muso Shinden Ryu,tier4,0.35,true,1,Muso Shinden Ryu - Warriors Challenge
Fite Nite,tier4,0.35,true,1,Fite Nite - Noche de Peleas
JMAE,tier4,0.35,true,1,JMAE - Japan Martial Arts Expo Prologue
ABC,tier4,0.35,true,1,ABC - Fight Festival 1
Nemesis MMA,tier4,0.35,true,1,Nemesis MMA - MMA Wars: New Blood
SEF,tier4,0.35,true,1,SEF 6 - Sobral Extreme Fight 6
CFK,tier4,0.35,true,1,CFK - Cage Fighting Komarno 1
Xtreme Gladiator Challenge,tier4,0.35,true,1,Xtreme Gladiator Challenge - St. Patty's Day Beatdown
WNC,tier4,0.35,true,1,WNC 3 - Warriors Night Championship 3
Warriors Night MMA,tier4,0.35,true,1,Warriors Night MMA - Warriors Night MMA 1
MCM,tier4,0.35,true,1,MCM - Mega Combate Mossoro
CNVTO,tier4,0.35,true,1,CNVTO - Currais Novos Vale Tudo Open
SOMMA,tier4,0.35,true,1,SOMMA 2 - Duarte vs. Burnell
Octagon Athletes,tier4,0.35,true,1,Octagon Athletes - Octagon Athletes 2
Club Maya,tier4,0.35,true,1,Club Maya - Briones vs. Velasco
Explosion MMA,tier4,0.35,true,1,Explosion MMA 5 - Lopez vs. Ribeiro
UFG,tier4,0.35,true,1,UFG - Ultimate Fighting Greece 1
Complete Cage Promotions,tier4,0.35,true,1,Complete Cage Promotions - MMA Fight Night in Danbury
Head to Head,tier4,0.35,true,1,Head to Head - The Big Guns
SWFC,tier4,0.35,true,1,SWFC - South West Fighting Championships 1
Bristol Fight Club,tier4,0.35,true,1,Bristol Fight Club - Fight Night
Star Elite Cage Fighting,tier4,0.35,true,1,Star Elite Cage Fighting - The Comeback
X-1 /,tier4,0.35,true,1,X-1 / 808 Battleground - Domination
Roundhouse MMA,tier4,0.35,true,1,Roundhouse MMA - The Beginning
NZFC,tier4,0.35,true,1,NZFC 1 - A New Beginning
SMMAF,tier4,0.35,true,1,SMMAF - Songkran MMA Festival
Inferno,tier4,0.35,true,1,Inferno - MMA
Xtreme Promotions,tier4,0.35,true,1,Xtreme Promotions - Throwdown in Jamestown 2
SV,tier4,0.35,true,1,SV - Superfight Vitoria
UGB MMA Championship,tier4,0.35,true,1,UGB MMA Championship - Predator Fight Series 14
UGB,tier4,0.35,true,1,UGB 39 - NCR
Top Fighter,tier4,0.35,true,1,Top Fighter - Santa Cruz
CITR,tier4,0.35,true,1,CITR - The New Generation
CMF,tier4,0.35,true,1,CMF - Ground & Pound
Supreme Fighting Championship,tier4,0.35,true,1,Supreme Fighting Championship 1 - Balkan Fighter Night
WITW,tier4,0.35,true,1,WITW - War in the West 2
6RAR,tier4,0.35,true,1,6RAR - Fight for the Troops
RRMC,tier4,0.35,true,1,RRMC  - RadRok MMA Championship
Bytomska,tier4,0.35,true,1,Bytomska - Gala MMA 2
World Best Gladiator,tier4,0.35,true,1,World Best Gladiator 1 - WBG 202-Pound MMA Grand Prix
KMF,tier4,0.35,true,1,KMF - King Master Fighters
Choc Dojo,tier4,0.35,true,1,Choc Dojo - MMA
Bazara,tier4,0.35,true,1,Bazara 0 Fight Club 3 - Kuzoma vs. Bukovskis
SPF / PFC,tier4,0.35,true,1,SPF / PFC -  Pit Bull Fight Championship 59
Redencao Fight,tier4,0.35,true,1,Redencao Fight - Redencao Fight 01 -Trator Vs Guinu
Brutality MMA,tier4,0.35,true,1,Brutality MMA - Fight Championship
TMMA,tier4,0.35,true,1,TMMA - Territory MMA
Team Nogueira Para,tier4,0.35,true,1,Team Nogueira Para - Team Nogueira MMA Circuit
XCWFC,tier4,0.35,true,1,XCWFC - Extreme Cage Warz
Copa Norte de MMA,tier4,0.35,true,1,Copa Norte de MMA - Copa Norte de MMA 2021
RK,tier4,0.35,true,1,RK - Roraima Kombat
AUF,tier4,0.35,true,1,AUF - Amazon Ultimate Fight
MMA Novi Sad,tier4,0.35,true,1,MMA Novi Sad - Open 2014
IFT,tier4,0.35,true,1,IFT 2 - International Fighting Tournament 2
Combate Americas: Stockton,tier4,0.35,true,1,Combate Americas: Stockton - Sanchez vs. Velasco
GS,tier4,0.35,true,1,GS - Gladiators Series
Rings Ireland,tier4,0.35,true,1,Rings Ireland - Reborn
Adrenalin Fight Nights,tier4,0.35,true,1,Adrenalin Fight Nights - Adrenalin Blast
TEF,tier4,0.35,true,1,TEF - Total Extreme Fighting 1
VAC,tier4,0.35,true,1,VAC - Victory and Glory
Fight on the East,tier4,0.35,true,1,Fight on the East - Poland vs. Ukraine
SportFighting,tier4,0.35,true,1,SportFighting 4 - Battle for the Belts
Ambition Promotions,tier4,0.35,true,1,Ambition Promotions - The Crucible
NOTG,tier4,0.35,true,1,NOTG 4 - Night of the Gladiators 4
Double R,tier4,0.35,true,1,Double R - 3rd Stage
RMBB & PCF,tier4,0.35,true,1,RMBB & PCF 1 - HellRazor
TOS,tier4,0.35,true,1,TOS - Tap or Snap
X-Fight FC,tier4,0.35,true,1,X-Fight FC - X-Fight 1
G,tier4,0.35,true,1,G - Gladiators 2
MFU,tier4,0.35,true,1,MFU - Mix Fight Ufa
JE,tier4,0.35,true,1,JE - Holland vs. Russia
BAMMA Fight Night,tier4,0.35,true,1,BAMMA Fight Night - Askham vs. Nunes
Fight-Pro UK,tier4,0.35,true,1,Fight-Pro UK - Barnsley Fight Night 3
PPF,tier4,0.35,true,1,PPF - Piaui Pro Fighter 04
Hawk FC,tier4,0.35,true,1,Hawk FC - Hawk Fight Championship 1
NMFVT,tier4,0.35,true,1,NMFVT - Nordeste Mega Fight Vale Tudo 2
XFC Africa,tier4,0.35,true,1,XFC Africa - Fight Club
Ringside Ticket,tier4,0.35,true,1,Ringside Ticket - Caged Conflict
ZF,tier4,0.35,true,1,ZF - Zhonglong Fight
Ragnarok,tier4,0.35,true,1,Ragnarok 13 - Caicai vs. El Paisa
Conquest FC,tier4,0.35,true,1,Conquest FC - Conquest Fight 2
FFR,tier4,0.35,true,1,FFR 1 - Fight for Respect 1
HD Boxing,tier4,0.35,true,1,HD Boxing - Rampage at Remington
FFABY,tier4,0.35,true,1,FFABY - Fighting for a Better Youth
WN,tier4,0.35,true,1,WN - Warrior Night 3
Empire MMA,tier4,0.35,true,1,Empire MMA 1 - Colombia vs. The World
NBF,tier4,0.35,true,1,NBF - New Breed Fighters 28
Pro Cagefighting,tier4,0.35,true,1,Pro Cagefighting 1 - Gladiators
F4P Championship,tier4,0.35,true,1,F4P Championship - Fight4Pride Championship 3
FWR,tier4,0.35,true,1,FWR - Fights With Rules 2
Art of War Productions,tier4,0.35,true,1,Art of War Productions - Yakuza Moon
Revolta,tier4,0.35,true,1,Revolta 3 - WAITW Fight Night
Coliseum FC,tier4,0.35,true,1,Coliseum FC - New History 3
Shaolin Ryu,tier4,0.35,true,1,Shaolin Ryu - Fight Club Den Haag 2013
Mielno Gala,tier4,0.35,true,1,Mielno Gala - Noc Wojownikow
CBS,tier4,0.35,true,1,CBS 2 - Chojnicki Boxing Show 2
Jackson Wink MMA,tier4,0.35,true,1,Jackson Wink MMA - JW Fight Night 6
Kingdom Fighting,tier4,0.35,true,1,Kingdom Fighting - Kingdom 1: Silva vs. El Ouassaidi
Purgatory FS,tier4,0.35,true,1,Purgatory FS 10 - Purgatory Fight Series 10
GCA,tier4,0.35,true,1,GCA - Gladiator Combat Arena
SMTF,tier4,0.35,true,1,SMTF - Segundo Muay Thai Festival
Awada Combat Club,tier4,0.35,true,1,Awada Combat Club - ERA Fight Night
Red Canvas,tier4,0.35,true,1,Red Canvas - Art of Submission 2
Valhalla FC,tier4,0.35,true,1,Valhalla FC - Valhalla Fighting Championships
Paraguay Fighting Championship,tier4,0.35,true,1,Paraguay Fighting Championship 4 - International
IFAVIS,tier4,0.35,true,1,IFAVIS - Crimea Rush: Piraev vs. Alers
RCWC,tier4,0.35,true,1,RCWC - Throwdown Showdown 11
Noche de Gloria,tier4,0.35,true,1,Noche de Gloria - Night of Glory 2013
CO,tier4,0.35,true,1,CO - Muay Thai & Vale Tudo
LA Entertainment,tier4,0.35,true,1,LA Entertainment - Airlie Fight Night 2
Manowar,tier4,0.35,true,1,Manowar - MMA Combat Series
ASB,tier4,0.35,true,1,ASB - All Star Boxing
RRF,tier4,0.35,true,1,RRF - Rio Recreio Fighting
AK,tier4,0.35,true,1,AK - Amazon Kombat 1.0
FLA,tier4,0.35,true,1,FLA 15 - Fight League Atlantic
Friday Night Fights,tier4,0.35,true,1,Friday Night Fights - Backlash
K.O. Kings,tier4,0.35,true,1,K.O. Kings - King of the Ring 3
SDB,tier4,0.35,true,1,SDB - Soco de Boss
Martial Entertainment,tier4,0.35,true,1,Martial Entertainment - Fight Night Champions 5: Escudero vs. Smith Jr.
OB-Gula,tier4,0.35,true,1,OB-Gula - Fight Night
Bilic-Eric Security,tier4,0.35,true,1,Bilic-Eric Security - Fight Night
Salford Fight Factory,tier4,0.35,true,1,Salford Fight Factory - Fight Ikon 10
HMMA,tier4,0.35,true,1,HMMA - Headhunters MMA 2
Supremacia Fight,tier4,0.35,true,1,Supremacia Fight - Duelo de Titas
OctoFight,tier4,0.35,true,1,OctoFight 4 - Duelo de Titas
URCC Cebu,tier4,0.35,true,1,URCC Cebu 4 - Proving Ground
Sambo Combat Championship,tier4,0.35,true,1,Sambo Combat Championship 1 -
Dragon Fight Sao Paulo,tier4,0.35,true,1,Dragon Fight Sao Paulo - Dragon Fight
VVFC,tier4,0.35,true,1,VVFC - Vila Velha Fight Combat
FOB,tier4,0.35,true,1,FOB - Frontier Open Battle 6
Pretorian,tier4,0.35,true,1,Pretorian - Pretorian Hard Sports Grand Opening
Blaze FC,tier4,0.35,true,1,Blaze FC - Beginning
AOWCF,tier4,0.35,true,1,AOWCF - Art of War Cage Fights
