canonical_id,fullName,nationality,photo_url,photo_license,ufc_id
6b235eef63a135bd,Johnny Munoz,United States,https://commons.wikimedia.org/wiki/Special:FilePath/Johnny%20Mu%C3%B1oz%20training.jpg?width=400,Wikimedia Commons (verify per-file),johnny-munoz
9beb40ad2fcb278d,Andre Fialho,Portugal,,,andre-fialho
87efda5e3f5fbc2a,Jake Collier,United States,,,jake-collier
aef794c9754597d7,Hannah Goldy,United States,,,hannah-goldy
0f3f095136c21a97,John Makdessi,Canada,,,john-makdessi
b037d86e6da0a231,Shane Young,New Zealand,https://commons.wikimedia.org/wiki/Special:FilePath/Shane%20Young%20post%20fight%20interview%20at%20UFC%20234.jpg?width=400,Wikimedia Commons (verify per-file),shane-young
a802ffbb7c452531,Zarah Fairn,,,,zarah-fairn
161e2b9043cbb030,Chan Sung Jung,South Korea,https://commons.wikimedia.org/wiki/Special:FilePath/Jung%20Chan-Sung%20from%20acrofan%20%282%29.jpg?width=400,Wikimedia Commons (verify per-file),chan-sung-jung
73dcdd41661adf51,Taila Santos,Brazil,,,taila-santos
d6e67f7fd5f489a3,Parker Porter,United States,,,parker-porter
8c40f8d46a6995b9,Yusaku Kinoshita,Japan,,,
b48c93d5e1721e67,Hakeem Dawodu,Canada,https://commons.wikimedia.org/wiki/Special:FilePath/Hakeem%20Dawodu%20at%20UFC%20244.jpg?width=400,Wikimedia Commons (verify per-file),hakeem-dawodu
f804db5c754b58ad,Chris Daukaus,United States,,,chris-daukaus
360f2cc2f016e6ac,Tafon Nchukwi,,,,tafon-nchukwi
5b7c7c83602d9b20,JP Buys,South Africa,,,jp-buys
ee9d919453a41a80,Gavin Tucker,Canada,,,gavin-tucker
7a868cb67cd37a18,Aleksa Camur,United States,,,aleksa-camur
61f87be764325b01,Danny Roberts,United Kingdom,,,danny-roberts
8f422d41a940e93c,Albert Duraev,Russia,,,albert-duraev
214a2a8ba3e64fcd,Austin Lingo,United States,,,austin-lingo
6f7956e788616622,Genaro Valdez,Mexico,,,
d060e977f1b102a4,Tyson Nam,United States,,,tyson-nam
935f4105a8433e91,Ashlee Evans-Smith,United States,https://commons.wikimedia.org/wiki/Special:FilePath/Ashlee%20Evans-Smith%20OF.jpg?width=400,Wikimedia Commons (verify per-file),ashlee-evans-smith
ef4e659341d92d79,Robbie Lawler,United States,https://commons.wikimedia.org/wiki/Special:FilePath/Robbie%20Lawler.png?width=400,Wikimedia Commons (verify per-file),robbie-lawler
5a7bb98211f03ab6,Damir Ismagulov,Russia,,,damir-ismagulov
27bc00fdf8ab932c,Kevin Lee,United States,https://commons.wikimedia.org/wiki/Special:FilePath/Kevin%20Lee.jpg?width=400,Wikimedia Commons (verify per-file),kevin-lee
70ee39eb53d14bc1,Blagoy Ivanov,Bulgaria,,,blagoy-ivanov
820b6fd2cd06ae44,Zhalgas Zhumagulov,Kazakhstan,https://commons.wikimedia.org/wiki/Special:FilePath/%D0%96%D0%B0%D0%BB%D0%B3%D0%B0%D1%81%20%D0%96%D1%83%D0%BC%D0%B0%D0%B3%D1%83%D0%BB%D0%BE%D0%B2%20-%20%D1%81%D0%B8%D0%B4%D0%B8%D1%82%20%D0%B2%D0%BE%20%D0%B4%D0%B2%D0%BE%D1%80%D0%B5%20.jpg?width=400,Wikimedia Commons (verify per-file),zhalgas-zhumagulov
011485d53d482aca,Amanda Nunes,Brazil,https://commons.wikimedia.org/wiki/Special:FilePath/Ceremonial%20weigh%20ins%20-%20Amanda%20Nunes%20vs%20Julianna%20Pe%C3%B1a%20UFC%20269%20%28cropped%29.jpg?width=400,Wikimedia Commons (verify per-file),amanda-nunes
7f23574923bc2c13,David Dvorak,Czech Republic,,,david-dvorak
ec7a27f968fc9b33,Abubakar Nurmagomedov,Russia,,,abubakar-nurmagomedov
cc66dc906fe562a1,Maxim Grishin,Russia,,,maxim-grishin
276b452a5c1e2a15,Ilir Latifi,Sweden,https://commons.wikimedia.org/wiki/Special:FilePath/Ilir%20Latifi%20at%20UFC%20232.jpg?width=400,Wikimedia Commons (verify per-file),ilir-latifi
6c5b2817264e8783,Takashi Sato,Japan,,,takashi-sato
8768279dfade97b4,Matt Brown,United States,https://commons.wikimedia.org/wiki/Special:FilePath/Mattbrown.jpg?width=400,Wikimedia Commons (verify per-file),matt-brown
055f2660d67201cf,Chase Sherman,United States,,,chase-sherman
