normalized_name,source,canonical_id
daniel zellhuber,ufc,17dc8cabd91da5ae
edgar chairez,ufc,60f31fb96a24723a
felipe bunes,ufc,91786db82a1d5e55
imanol rodriguez,ufc,1c33eb78bdc5df39
kevin borjas,ufc,c9689833e730c077
santiago luna,ufc,40a4d73f3a51ca65
angel pacheco,ufc,95d8b12e5a21ed5a
ryan gandra,ufc,85a165c98f003923
jose daniel medina,ufc,d5208b261a548ced
ailin perez,ufc,e7adbb01bdaae78c
macy chiasson,ufc,882b8b96d9e44fdf
cristian quinonez,ufc,1fc339f153e788c3
kris moutinho,ufc,2dd667d6fae680e2
douglas silva de andrade,ufc,445643aa88ac4486
javier reyes,ufc,0dc9571266788e7c
regina tarin,ufc,eb6ce9814e356bfb
ernesta kareckaite,ufc,3c972c6d8123294c
erik silva,ufc,acee921186a58206
damian pinas,ufc,c212ca8a9b232259
anthony hernandez,ufc,9583d6bf13318f23
geoff neal,ufc,deee560a8bc1dd80
uros medic,ufc,84ded26cb00e17cf
dan ige,ufc,217d1a9370550d41
serghei spivac,ufc,e61d510091019852
ante delija,ufc,8207b4d862044632
jacobe smith,ufc,ef56a8f712d971ef
josiah harrell,ufc,c95b1cac8dfd2ae0
zach reese,ufc,3278a31624e0082e
michel pereira,ufc,b2d0ed4e270b49dc
chidi njokuani,ufc,b64bdbe0d3e4c9aa
carlos leal,ufc,1ca9af9ac078f0ba
ode osbourne,ufc,cb862700e7767b56
alibi idiris,ufc,831540ae441a2698
alden coria,ufc,201260e3416bc322
nora cornolle,ufc,89d577014f06908a
ramiz brahimaj,ufc,98199760e1c660be
punahele soriano,ufc,fd2553227e3641fe
phil rowe,ufc,9a1548c71a7398bf
jeanpaul lebosnoyani,ufc,113a883d66bceed8
jordan leavitt,ufc,12c6b847f7f28593
yadier del valle,ufc,47dfe6ac6c9121a0
juliana miller,ufc,2829dc258e48d9ed
carli judice,ufc,35fd53a02396b4af
mario bautista,ufc,fb2821134f28cffd
vinicius oliveira,ufc,aad8e24798f0a89f
amir albazi,ufc,693be865c2fb6f37
kyoji horiguchi,ufc,c921a062105cb950
jailton almeida,ufc,c17b1fa1d28c1eea
rizvan kuniev,ufc,16862aff18bed355
michal oleksiejczuk,ufc,baf392e288389603
marcandre barriault,ufc,f9f4bfae4f5773bb
jean matsumoto,ufc,99142b6b0a8bdbba
farid basharat,ufc,6268180e745a1e23
dustin jacoby,ufc,91199de65226ddd6
julius walker,ufc,98007087a1199703
alex morono,ufc,958dfbfa3ae46b07
daniil donchenko,ufc,1dbb544d1b5ac196
ketlen souza,ufc,987a31b24ac333ea
javid basharat,ufc,7192b50e701bd23e
gianni vazquez,ufc,17bd6cb0ff67ee5d
wang cong,ufc,58cfe90363989b8f
eduarda moura,ufc,f2a4a3932a91dc1e
muin gafurov,ufc,a991252ad3712030
jakub wiklacz,ufc,20c8eb11c1c160b9
klaudia sygula,ufc,fe5b6eb764fa7cf7
priscila cachoeira,ufc,29f2d5ce1eef7082
alexander volkanovski,ufc,00ccd78f83230b09
diego lopes,ufc,bf14e890b46e0305
dan hooker,ufc,fc949bd38e5955fc
benoit saint denis,ufc,baf62b0c8795f506
rafael fiziev,ufc,4e08ff215f9a5fc0
mauricio ruffy,ufc,bd8ee82c2df0d588
tallison teixeira,ufc,395835d15985848e
jamie mullarkey,ufc,55e6fb53d99c550e
billy elekana,ufc,9bb21a6ce26860ff
torrez finney,ufc,ac54fb7dcc875b59
oban elliott,ufc,574a92a70255439d
kaan ofli,ufc,b62e595027ceacad
yizha,ufc,01d2ad4fbc27e632
sangwook kim,ufc,5b412ce6464f1c11
keiichiro nakamura,ufc,9f4cf806ebcfa00e
sebastian szalay,ufc,5e66096486783677
sulangrangbo,ufc,f3faf6103e5498b1
lawrence lui,ufc,4aef3ff31f0fbef5
shi ming,ufc,4e68c7da6bcad57d
terrance saeteurn,ufc,ffaccfcb6a96eda6
justin gaethje,ufc,d5ebb51288f99cee
paddy pimblett,ufc,3495d04b5c109550
sean omalley,ufc,bbcaf7b57144df14
song yadong,ufc,6e8a5fe4993ba864
derrick lewis,ufc,957522be7ec72223
natalia silva,ufc,a47925a4d8ea3a25
rose namajunas,ufc,41197a2ac800612c
jean silva,ufc,fa859b94c8582c26
umar nurmagomedov,ufc,6f151471dd180d1e
deiveson figueiredo,ufc,087d5e2b3912bfd6
andrey pulyaev,ufc,634eda97df9caa0e
nikita krylov,ufc,9dd8a4f62f227cb4
alex perez,ufc,245f661e52b116c7
denzel freeman,ufc,b1d7ad470a1f451b
adam fugitt,ufc,dcb9a947c0578d1c
ty miller,ufc,d8436984de79cc6e
brandon royval,ufc,22c9882008036ba4
manel kape,ufc,0cdf094ed2a15c5e
giga chikadze,ufc,3739a7ad389dcac5
cesar almeida,ufc,600dc8df28333450
cezary oleksiejczuk,ufc,e180666d3423c42b
morgan charriere,ufc,07691b03bb22f0a9
kennedy nzechukwu,ufc,3efa6683f90baf91
neil magny,ufc,3fd27e0b217d2b7b
joanderson brito,ufc,5817d60924c7a7e0
isaac thomson,ufc,984bd4298fe632ae
sean sharaf,ufc,93fc17b97f4b66d2
luana santos,ufc,a01276e067ddc553
allen frye jr,ufc,36d7983b38d6c225
tereza bleda,ufc,8fbbef9a4ec1f6cb
merab dvalishvili,ufc,5ea45965dcdfe486
petr yan,ufc,e5c5bf33b9961606
alexandre pantoja,ufc,491c47c97570c365
henry cejudo,ufc,fa09a52adc3f2384
payton talbott,ufc,2b3745a0444dcd17
jan blachowicz,ufc,29a6a8a9d3847e14
bogdan guskov,ufc,aec9dc5aff9f4748
