canonical_id,fullName,nickname,weightClass,gender,W,L,D,fightCount,height,stance,sherdogId,aliases
7a282caac2fd21f7,Gilbert Yvel,,Heavyweight,Male,0,3,0,3,"6' 2""",Orthodox,Gilbert-Yvel-323,Gilbert Yvel
dce753ce49abddbf,James Wilks,,Welterweight,Male,2,2,0,4,"6' 1""",Orthodox,James-Wilks-10569,James Wilks
5e561206c782b18c,Vinicius Queiroz,,Heavyweight,Male,0,1,0,1,"6' 7""",Orthodox,,Vinicius Queiroz
d839143b4468288e,Mark Holst,,Lightweight,Male,0,2,0,2,"6' 0""",Orthodox,Mark-Holst-14862,Mark Holst
b92c4943d32db3d3,James McSweeney,,Heavyweight,Male,1,2,0,3,"6' 4""",Switch,James-McSweeney-22111,James McSweeney
7d11df982ae0267d,Matt Serra,,Welterweight,Male,7,7,0,14,"5' 6""",Orthodox,Matt-Serra-1305,Matt Serra
e8f4fe9dd8a061ed,Sean Sherk,,Lightweight,Male,8,4,0,12,"5' 6""",Orthodox,Sean-Sherk-277,Sean Sherk
d2d1f724083b8f4b,Steve Lopez,,Lightweight,Male,0,2,0,2,"5' 11""",Orthodox,Steve-Lopez-29129,Steve Lopez
66aa42e49f895937,Julio Paulino,,Welterweight,Male,0,2,0,2,"6' 0""",Orthodox,,Julio Paulino
7bb7537ffb105909,John Gunderson,,Lightweight,Male,1,2,0,3,"5' 9""",Orthodox,John-Gunderson-7018,John Gunderson
93f00a03fa44fb1e,Tomasz Drwal,,Middleweight,Male,3,3,0,6,"6' 1""",Orthodox,Tomasz-Drwal-10047,Tomasz Drwal
dc3fbd168bba6fb2,Forrest Petz,,Welterweight,Male,2,5,0,7,"5' 9""",Orthodox,Forrest-Petz-4411,Forrest Petz
10536b1a04ab67c8,James Toney,,Heavyweight,Male,0,1,0,1,"5' 9""",Orthodox,James-Toney-60940,James Toney
c5209dcbc67051ae,John Salter,,Middleweight,Male,1,2,0,3,"6' 1""",Southpaw,John-Salter-44683,John Salter
6f8ed7dbd7c5df7e,Rodney Wallace,,Light Heavyweight,Male,0,3,0,3,"5' 9""",Switch,Rodney-Wallace-33343,Rodney Wallace
8e68628967b9920b,James Irvin,,Light Heavyweight,Male,4,6,0,10,"6' 2""",Orthodox,James-Irvin-7780,James Irvin
484c83dce0ec8054,Steve Steinbeiss,,Middleweight,Male,0,2,0,2,"6' 3""",Orthodox,Steve-Steinbeiss-21627,Steve Steinbeiss
e4eedec09eb93cb1,Keith Jardine,,Light Heavyweight,Male,6,7,0,13,"6' 2""",Orthodox,Keith-Jardine-2638,Keith Jardine
91d14a73903d4035,Jamie Yager,,Middleweight,Male,0,1,0,1,"6' 1""",Orthodox,,Jamie Yager
90ab2280e6f730f0,Josh Bryant,,Middleweight,Male,0,1,0,1,"5' 10""",Orthodox,Josh-Bryant-21971,Josh Bryant
cd30ca5d9e53009c,James Hammortree,,Middleweight,Male,0,1,0,1,"6' 3""",Orthodox,,James Hammortree
e82d9eed17fb4b14,Chuck Liddell,,Light Heavyweight,Male,16,7,0,23,"6' 2""",Orthodox,Chuck-Liddell-192,Chuck Liddell
f966a99d0791c7b4,David Loiseau,,Middleweight,Male,4,5,0,9,"6' 0""",Orthodox,David-Loiseau-903,David Loiseau
c87b88ab025f17eb,Jesse Lennox,,Welterweight,Male,1,2,0,3,"5' 9""",Orthodox,Jesse-Lennox-17139,Jesse Lennox
5a281ecf2377f825,Dan Lauzon,,Lightweight,Male,0,3,0,3,"5' 10""",Orthodox,Dan-Lauzon-16556,Dan Lauzon
0bd00ae8b3539d59,Joe Brammer,,Lightweight,Male,0,2,0,2,"5' 8""",Orthodox,Joe-Brammer-17016,Joe Brammer
1f71ea0e370d2b45,Jesse Forbes,,Middleweight,Male,0,3,0,3,"6' 2""",Southpaw,Jesse-Forbes-13453,Jesse Forbes
2d883239d6a909a4,Paul Daley,,Welterweight,Male,2,1,0,3,"5' 9""",Orthodox,Paul-Daley-4270,Paul Daley
